top - 10:45:51 up 38 min,  1 user,  load average: 0.14, 0.55, 0.73
Tasks: 261 total,   1 running, 260 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.0 us,  4.5 sy,  0.0 ni, 92.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15864.1 total,  10300.9 free,   2542.9 used,   3020.3 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  12514.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3246 darshan   20   0   32.5g  47980  31296 S   0.0   0.3   0:00.30 msedge
   3273 darshan   20   0 1157.9g 224208 128824 S   0.0   1.4   0:52.02 msedge
   3397 darshan   20   0 1156.0g 218576 121228 S   0.0   1.3   0:32.02 msedge
   3439 darshan   20   0  494148  31272  21704 S   0.0   0.2   0:00.33 update-not+
   4505 root      20   0       0      0      0 I   0.0   0.0   0:03.66 kworker/0:+
   4557 darshan   20   0  387836   8908   7740 S   0.0   0.1   0:00.12 gvfsd-netw+
   4570 darshan   20   0  315128   8744   7564 S   0.0   0.1   0:00.09 gvfsd-dnssd
   4613 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker/3:+
   4631 darshan   20   0 1156.0g 228284 121400 S   0.0   1.4   0:13.30 msedge
   4755 darshan   20   0 1197960  77540  47196 S   0.0   0.5   0:02.53 nautilus
   4773 darshan   20   0 1028836  76712  55620 S   0.0   0.5   0:04.15 eog
   4783 lp        20   0   15332   6688   5892 S   0.0   0.0   0:00.00 dbus
   4819 darshan   20   0 1157.8g 121092  93020 S   0.0   0.7   0:00.68 msedge
   4843 darshan   20   0   32.7g  75420  60296 S   0.0   0.5   0:00.08 msedge
   4858 darshan   20   0 1156.0g 214816 128372 S   0.0   1.3   5:56.50 msedge
   4868 darshan   20   0 1156.0g 109432  88100 S   0.0   0.7   0:00.42 msedge
   4886 darshan   20   0 1156.0g 101732  81564 S   0.0   0.6   0:00.30 msedge
   4921 darshan   20   0 1156.0g 105552  85264 S   0.0   0.6   0:00.30 msedge
   4931 darshan   20   0 1156.0g 104688  84260 S   0.0   0.6   0:00.31 msedge
   4942 darshan   20   0 1156.0g 109952  87692 S   0.0   0.7   0:00.52 msedge
   4952 darshan   20   0 1156.0g 104296  84108 S   0.0   0.6   0:00.29 msedge
   4958 darshan   20   0 1156.0g 112768  90592 S   0.0   0.7   0:00.62 msedge
   4968 darshan   20   0 1156.0g 108320  85252 S   0.0   0.7   0:00.47 msedge
   4972 darshan   20   0 1156.0g 103200  82564 S   0.0   0.6   0:00.35 msedge
   4990 darshan   20   0 1156.0g 109904  87488 S   0.0   0.7   0:00.53 msedge
   4997 darshan   20   0 1156.0g 108916  87576 S   0.0   0.7   0:00.46 msedge
   5004 darshan   20   0 1156.0g 103528  83332 S   0.0   0.6   0:00.28 msedge
   5011 darshan   20   0 1156.0g 111564  89968 S   0.0   0.7   0:00.40 msedge
   5025 darshan   20   0 1156.0g 103556  81872 S   0.0   0.6   0:00.33 msedge
   5040 darshan   20   0 1156.0g 104768  83388 S   0.0   0.6   0:00.31 msedge
   5046 darshan   20   0 1156.0g 101184  81028 S   0.0   0.6   0:00.19 msedge
   5051 darshan   20   0 1156.0g 101484  81308 S   0.0   0.6   0:00.18 msedge
   5052 darshan   20   0 1156.0g 101112  81088 S   0.0   0.6   0:00.18 msedge
   5080 darshan   20   0 1156.0g 106924  86052 S   0.0   0.7   0:00.21 msedge
   5135 darshan   20   0 1156.0g  98924  78940 S   0.0   0.6   0:00.16 msedge
   5139 darshan   20   0 1156.0g  99256  79252 S   0.0   0.6   0:00.16 msedge
   5165 darshan   20   0 1156.0g  97980  78068 S   0.0   0.6   0:00.16 msedge
   5174 darshan   20   0 1156.0g 101272  81136 S   0.0   0.6   0:00.15 msedge
   5191 darshan   20   0  962452  52068  39152 S   0.0   0.3   0:10.97 gnome-term+
   5202 darshan   20   0   10748   5052   3508 S   0.0   0.0   0:00.05 bash
   5237 root      20   0       0      0      0 I   0.0   0.0   0:00.34 kworker/u1+
   5265 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:+
   5648 root      20   0       0      0      0 I   0.0   0.0   0:00.29 kworker/u1+
   5658 darshan   20   0  868084  57300  41800 S   0.0   0.4   0:00.29 gnome-cale+
   5659 darshan   20   0  615768  44864  27516 S   0.0   0.3   0:00.34 seahorse
   5734 darshan   20   0 6755240 196960 101596 S   0.0   1.2   0:06.17 teams
   5736 darshan   20   0  204068  46248  38852 S   0.0   0.3   0:00.02 teams
   5737 darshan   20   0  204068  45820  38420 S   0.0   0.3   0:00.03 teams
   5772 darshan   20   0  997044 111152  74520 S   0.0   0.7   0:01.30 teams
   5776 darshan   20   0  863648  73780  56056 S   0.0   0.5   0:01.76 teams
   5809 darshan   20   0 5385404  81360  65096 S   0.0   0.5   0:00.22 teams
   5838 darshan   20   0  987920  51204  43024 S   0.0   0.3   0:00.24 teams
   5840 darshan   20   0  208740   9972   2272 S   0.0   0.1   0:00.00 teams
   5863 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u1+
   5872 darshan   20   0 7098356 137388 111380 S   0.0   0.8   0:02.22 teams
   5885 darshan   20   0 9638212 150156  68400 S   0.0   0.9   0:05.43 teams
   5886 darshan   20   0  208740   9968   2272 S   0.0   0.1   0:00.00 teams
   5948 darshan   20   0   17.4g 174784  80784 S   0.0   1.1   0:06.02 teams
   5991 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:+
   6067 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:+
   6105 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:+
   6123 darshan   20   0   64.5g  38804  23660 S   0.0   0.2   0:00.00 msedge
   6130 darshan   20   0 1156.0g  65212  46976 S   0.0   0.4   0:00.02 msedge
   6171 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/2:+

top - 10:45:55 up 38 min,  1 user,  load average: 0.14, 0.55, 0.73
Tasks: 261 total,   1 running, 260 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.9 us,  0.8 sy,  0.0 ni, 97.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15864.1 total,  10300.9 free,   2545.9 used,   3017.3 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  12514.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   5839 darshan   20   0   13.5g 395264 106380 S   4.0   2.4   1:01.58 teams
   1488 darshan   20   0  674404 108984  66128 S   0.7   0.7   1:23.72 Xorg
    230 root      20   0       0      0      0 I   0.3   0.0   0:04.79 kworker/1:+
    725 root      20   0  125896   9924   9092 S   0.3   0.1   0:00.23 thermald
   1692 darshan   20   0 4199728 260688 107004 S   0.3   1.6   2:22.22 gnome-shell
   3175 darshan   20   0   33.4g 499952 382408 S   0.3   3.1   0:59.61 msedge
   3223 darshan   20   0   32.5g 115984  84208 S   0.3   0.7   0:13.40 msedge
   5212 darshan   20   0 1156.0g 175624 118844 S   0.3   1.1   0:14.31 msedge
      1 root      20   0  167704  11556   8340 S   0.0   0.1   0:01.40 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flush+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.15 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0   0:02.19 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migration/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration/1
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.13 ksoftirqd/1
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.15 migration/2
     28 root      20   0       0      0      0 S   0.0   0.0   0:01.54 ksoftirqd/2
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_injec+
